County,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Barbour County,3318,3304,3299.0,2800.0,3350.0,2390.0,2400,2360,2360,2350,2740
Berkeley County,2326,2350,2491.0,2260.0,2210.0,2190.0,2230,2250,2340,2250,2440
Boone County,2734,2444,2720.0,3030.0,2960.0,2920.0,2540,2790,2740,3580,3510
Braxton County,2907,2897,2411.0,2420.0,2410.0,1800.0,2070,2370,2350,2330,2280
Brooke County,4001,3974,3976.0,3960.0,4710.0,4670.0,5740,4490,4440,4390,3610
Cabell County,665,644,655.0,640.0,670.0,610.0,600,630,590,570,580
Calhoun County,7658,3826,3804.0,1890.0,1880.0,2490.0,2450,2440,2420,2370,2320
Clay County,4690,4679,,,,,8860,8760,8630,8510,8340
Doddridge County,8188,4086,4089.0,4170.0,4200.0,4090.0,4210,4280,8410,8450,8370
Fayette County,1586,1523,1529.0,1820.0,1960.0,2050.0,2110,2290,2150,2120,2340
Gilmer County,2180,2176,2911.0,2170.0,2150.0,2130.0,2750,2670,2680,2610,2600
Grant County,1704,1486,1688.0,1960.0,1670.0,1680.0,1960,1950,1940,1650,1640
Greenbrier County,670,688,702.0,770.0,750.0,760.0,730,780,760,750,670
Hampshire County,2995,3402,3387.0,4690.0,5870.0,4670.0,4660,3910,3340,3860,3870
Hancock County,1533,1609,1684.0,1510.0,1430.0,1490.0,1740,1840,1710,1600,1790
Hardy County,7035,4637,4622.0,4640.0,3480.0,3460.0,4630,6860,6890,6890,6820
Harrison County,975,964,922.0,880.0,870.0,870.0,870,870,880,840,770
Jackson County,2656,2658,2658.0,2650.0,2910.0,2920.0,3240,3220,2870,2860,2850
Jefferson County,2682,2582,2019.0,2040.0,2060.0,1880.0,1880,1710,1890,1900,1550
Kanawha County,832,805,754.0,740.0,760.0,770.0,740,760,730,740,730
Lewis County,1489,1368,1488.0,1650.0,1490.0,1500.0,1360,1350,1460,1590,1980
Lincoln County,3618,4310,3605.0,3080.0,4310.0,3060.0,3030,2310,2570,2270,2230
Logan County,1597,1402,1644.0,2000.0,2210.0,2170.0,2410,2060,2170,1780,1860
Marion County,1527,1415,1453.0,1580.0,1580.0,1730.0,1770,1880,2000,1930,1930
Marshall County,1945,1929,2042.0,2030.0,2490.0,2660.0,2650,2400,2800,3050,3010
Mason County,1518,1517,1699.0,1700.0,1800.0,1800.0,1790,1910,2230,2210,2190
McDowell County,2452,2414,2370.0,2320.0,2270.0,1980.0,2130,3690,3640,4410,4230
Mercer County,1448,1487,1690.0,1550.0,1540.0,1530.0,1590,1490,1600,1730,1820
Mineral County,2822,2819,2796.0,3460.0,3940.0,3430.0,3050,3020,2990,3360,3340
Mingo County,1786,3320,2373.0,2350.0,2860.0,3160.0,4930,4830,5950,5860,5740
Monongalia County,842,880,858.0,830.0,810.0,810.0,770,760,730,680,710
Monroe County,1928,1692,2693.0,2700.0,2260.0,2250.0,2230,2680,2660,2660,2650
Morgan County,2190,2192,2184.0,2190.0,1940.0,1950.0,1960,1770,1980,1990,2230
Nicholas County,1141,1142,1192.0,1180.0,1120.0,1110.0,1100,1040,1080,1170,1110
Ohio County,618,632,678.0,710.0,660.0,580.0,570,630,600,600,660
Pendleton County,1925,1918,1892.0,1870.0,3690.0,2410.0,2350,2330,2330,2320,2310
Pleasants County,2527,2537,2532.0,2530.0,2540.0,3840.0,3800,7510,7510,7460,7440
Pocahontas County,1452,1464,1449.0,1730.0,2170.0,2150.0,2130,2110,2100,2750,2730
Preston County,4192,3372,4833.0,4230.0,3380.0,2830.0,3070,2590,2420,2570,2380
Putnam County,993,1018,941.0,930.0,900.0,920.0,930,950,930,970,940
Raleigh County,1096,1199,1197.0,1020.0,1040.0,1060.0,1110,1140,1180,1260,1260
Randolph County,1278,1179,1130.0,1340.0,1470.0,1460.0,1260,1150,1370,1430,1490
Ritchie County,3480,3432,3412.0,3360.0,3340.0,4990.0,4940,4890,4860,4780,4750
Roane County,2489,2476,1836.0,2440.0,2440.0,2060.0,1780,1760,1990,1960,1930
Summers County,2322,2311,2290.0,2710.0,2680.0,2650.0,2570,2600,3190,3140,4150
Taylor County,1878,2819,2124.0,2120.0,2440.0,3380.0,2810,2820,2810,2780,2780
Tucker County,1425,1755,2332.0,2320.0,2310.0,2320.0,2310,2310,2320,2280,1700
Tyler County,2298,1824,1506.0,1500.0,2270.0,2240.0,2240,1760,2190,2860,2840
Upshur County,2021,1871,1748.0,1900.0,1900.0,2250.0,2240,2450,2030,1610,1620
Wayne County,2232,2006,1983.0,1730.0,1580.0,1640.0,1560,1830,1820,1710,1860
Webster County,1836,1829,1809.0,1780.0,1770.0,1750.0,2160,2790,2760,2700,4030
Wetzel County,1840,2725,2737.0,2310.0,1780.0,1980.0,1740,1930,1910,2150,2480
Wirt County,5731,2881,2924.0,2950.0,5850.0,5880.0,5810,5790,5830,5820,5710
Wood County,1280,1281,1314.0,1240.0,1180.0,1170.0,1240,1220,1170,1160,1140
Wyoming County,3391,3903,3879.0,3840.0,3770.0,3690.0,3630,3540,3460,4080,5030
